FVR-1001;FORZA REGULADOR DE VOLTAJE 1000VA/500W 110V 4 TOMAS (COMPUTADORAS Y ACCESORIOS / CELULARES Y TABLETAS / ELECTRONICOS PERSONALES / TELEFONOS / MODEM / ROUTERS);6;;$ 14,70;$ 19,11;;$ 88,20;;
FVR-1011USB;FORZA REGULADOR DE VOLTAJE 1000VA/500W 110V 4 TOMAS 2 PUERTOS USB (COMPUTADORAS Y ACCESORIOS / CELULARES Y TABLETAS / ELECTRONICOS PERSONALES / TELEFONOS / MODEM / ROUTERS);6;; $15,87 ;$ 20,63;;$ 95,22;;
LS1005;TP-LINK SWITCHE E 5 PUERTOS 10/100 RJ45;6;; $9,18 ;$ 11,93;;$ 55,08;;
TL-SG1005P;TP-LINK SWITECH 5 PUERTOS GIGABIT 4 PUERTOS POE+;3;; $53,94 ;$ 70,12;;$ 161,82;;
LS1008;TP-LINK SWITCHE  8 PUERTOS 10/100 RJ45;6;; $11,22 ;$ 14,59;;$ 67,32;;
LS1008G;TP-LINK SWITCHE E 8 PUERTOS 10/100/1000 DESKTOP ;4;; $21,00 ;$ 27,30;;$ 84,00;;
TL-SF1016;TP-LINK  SWITCHE 16 PUERTOS RJ45 a 10-100 RACK;4;; $45,00 ;$ 58,50;;$ 180,00;;
TL-SF1024D;TP-LINK SWITCHE 24-Port 10-100 RACK-DESK;4;; $59,00 ;$ 76,70;;$ 236,00;;
TL-SG1024D;TP-LINK SWITCHE E 24 PUERTOS GIGABIT ESCRITORIO/ RACK;2;; $97,00 ;$ 126,10;;$ 194,00;;
TL-SG1024DE;TP-LINK SWITCHE 24 PUERTOS GIGABIT RACK;2;; $123,00 ;$ 159,90;;$ 246,00;;
RGES205GCP;RUIJIE/REYEE SWITCH ADMINISTRABLE 5 X PUERTOS GB,  4 X POE+ 802.3AF/AT, GESTIÓN NUBE, 54W;2;; $68,40 ;$ 88,92;;$ 136,80;;
RGES209GCP;RUIJIE/REYEE SWITCH ADMINISTRABLE 9 X PUERTOS GB,  8 X POE+ 802.3AF/AT, GESTIÓN NUBE, 120W;4;; $125,00 ;$ 162,50;;$ 500,00;;
RGEG210GP;RUIJIE/REYEE ROUTER GESTION CLOUD 8X POE+ 70W CON 10 PUERTOS GB (6 X LAN, 1 X WAN Y 3 X LAN/WAN) HASTA 200 CLIENTES;2;; $175,40 ;$ 228,02;;$ 350,80;;
RGES218GCP;RUIJIE/REYEE SWITCH ADMINISTRABLE 16X PUERTOS GB POE 802.3AF/AT + 2 SFP 1GB, GESTIÓN NUBE, 240W;2;; $273,00 ;$ 354,90;;$ 546,00;;
RGES226GCP;RUIJIE/REYEE SWITCH ADMINISTRABLE 24X PUERTOS GB POE 802.3AF/AT + 2 SFP 1GB, GESTIÓN NUBE, 370W;2;; $376,00 ;$ 488,80;;$ 752,00;;
RGNBS31008GT2SFPP;RUIJIE/REYEE SWITCH ADMINISTRABLE  8 X POE+ 802.3AF/AT +2 SFP 1GB , GESTIÓN NUBE, 125W;2;; $242,00 ;$ 314,60;;$ 484,00;;
RGNBS310024GT4SFP;RUIJIE/REYEE SWITCH ADMINISTRABLE 24X PUERTOS GB  + 4 SFP 1GB, GESTIÓN NUBE;2;; $217,00 ;$ 282,10;;$ 434,00;;
NHE-D100;NEXXT SWITCH CON REGULADOR DE INTENSIDAD LUMINOSA WIFI;6;; $20,51 ;$ 26,66;;$ 123,06;;
AEIEL304U2;NEXXT EXTENSOR UNIVERSAL KRONOS 301 INALAMBRICO ACCES POINT 3 EN 1  DE ENCHUFE -N 300Mbps;6;; $14,84 ;$ 19,29;;$ 89,04;;
AHIWPSO4U1;NEEXT TOMA CORRIENTE INTELIGENTE WIFI 110V;6;; $9,99 ;$ 12,99;;$ 59,94;;
NHP-O610;NEXXT TOMA CORRIENTE INTELIGENTE DUAL PARA EXTERIOR WIFI;6;; $12,71 ;$ 16,52;;$ 76,25;;
NHC-O630;NEXXT CAMARA PARA EXTERIORES INALAMBRICA WIFI;4;; $56,00 ;$ 72,80;;$ 224,00;;
NHE-S300;NEXXT INTERRUPTOR 3 VIAS INTELIGENTE 110/220V WIFI;6;; $18,05 ;$ 23,47;;$ 108,30;;
NHA-G100;NEXXT PROYECTOR DE GALAXIAS Y ESTRELLAS WIFI;2;; $41,02 ;$ 53,33;;$ 82,04;;
NHB-C110;NEXXT BOMBILLO LED INTELIGENTE 110V WIFI;6;; $8,96 ;$ 11,64;;$ 53,73;;
NHB-A510;NEXXT BOMBILLO INTELIGENTE DE FILAMENTO  LED 110V-ST19 WIFI  AMBAR;6;; $10,45 ;$ 13,59;;$ 62,70;;
NHB-C1102PK;NEXXT BOMBILLO INTELIGENTE  LED 110V-A19 WIFI  MULTICOLOR;6;; $17,09 ;$ 22,22;;$ 102,55;;
NHB-W210;NEXXT BOMBILLO LED 110V-BR30 REGULABLE WIFI BLANCO;6;; $10,66 ;$ 13,86;;$ 63,96;;
NHB-W1104PK;NEXXT BOMBILLO LED 110V -A19 REGULABLE WIFI EMP 4 UNIDADES  BLANCO;6;; $27,07 ;$ 35,19;;$ 162,42;;
NHB-W2104PK;NEXXT BOMBILLO LED INTELIGENTE 110V-BR30 REGULABLE WIFI;6;; $35,00 ;$ 45,50;;$ 210,00;;
NHB-C310;NEXXT BOMBILLO LED 110V  MR16 WIFI MULTICOLOR;12;; $7,79 ;$ 10,13;;$ 93,48;;
NHB-W310;NEXXT BOMBILLO LED INTELIGENTE 110V MR16 WIFI  REGULABLE BLANCO;12;; $6,98 ;$ 9,07;;$ 83,76;;
NHB-C1104PK;NEXXT BOMBILLO LED INTELIGENTE WIFI 4 PACK 110V A19 MULTICOLOR;3;; $33,65 ;$ 43,75;;$ 100,95;;
AKB30ES;TARGUS TECLADO ALÁMBRICO ESPAÑOL;12;; $15,39 ;$ 20,01;;$ 184,68;;
FWT-4012USB;FORZA TOMA CORRIENTE PROTECTOR DE VOLTAJE 4012USB 110/220V 4 USB  LED+LUZ NOCTURA (COMPUTADORAS Y ACCESORIOS / CELULARES Y TABLETAS / ELECTRONICOS PERSONALES / TELEFONOS / MODEM / ROUTERS);12;; $12,90 ;$ 16,77;;$ 154,80;;
HT-750LCD;FORZA UPS 750VA-375W 120V 12 TOMAS (COMPUTADORAS Y ACCESORIOS - TELEVISORES DE 19- 60 - SISTEMAS DE AUDIO - TELEFONOS MOVILES Y TABLETS - CONSOLAS - ESTACIONES PARA DISENO GRAFICO);4;; $75,00 ;$ 97,50;;$ 300,00;;
HT-1000LCD;FORZA UPS 1000VA-500W 120V 12-NEMA 2-USB 50-60Hz (COMPUTADORAS Y ACCESORIOS - TELEVISORES DE 19- 60 - SISTEMAS DE AUDIO - TELEFONOS MOVILES Y TABLETS - CONSOLAS - ESTACIONES PARA DISENO GRAFICO);4;; $102,79 ;$ 133,63;;$ 411,16;;
XG-1201LCD;FORZA UPS XG-1201LCD SMART 1200VA/720W ONDA SENUSOIDAL PURA 10-NEMA PUERTO USB (CONSOLAS DE JUEGO / COMPUTADORAS Y ACCESORIOS / TELEVISORES / ESTACIONES DE TRABAJO GRAFICAS / VIDEO VIGILANCIA / SERVIDORES Y REDES) ;4;; $241,00 ;$ 313,30;;$ 964,00;;
SL-2001UL;FORZA UPS SL-2001UL SMART 2000VA/1200W 120V120V 8-NEMA 1100J RJ45 USB PANTALLA TACTIL  (SERVIDORES MEDIANOS / COMPUTADORAS Y ACCESORIOS / ELECTRONICOS PERSONALES / ESTACIONES DE TRABAJO / VIDEO VIGILANCIA / LUCES DE EMERGENCIA);4;; $237,00 ;$ 308,10;;$ 948,00;;
DECO E4 (3 PACK);TP-LINK DECO E4 (3 PACK) AC 1200 HASTA (260 m²)  WIFI HOME MESH;3;; $145,00 ;$ 188,50;;$ 435,00;;
DECO M4 (2 PACK);TP-LINK DECO M4 (2 PACK) AC 1200 HASTA (260 m²)  WIFI HOME MESH;3;; $126,00 ;$ 163,80;;$ 378,00;;
RGRAP2200E;RUIJIE/REYEE AP WIFI5 INTERIOR TECHO POE DOBLE BANDA MU-MIMO 2X2 , 2 PUERTO GB;3;; $91,70 ;$ 119,21;;$ 275,10;;
RGRAP2200F;RUIJIE/REYEE AP WIFI5 INTERIOR TECHO POE DOBLE BANDA MU-MIMO 2X2, PUERTO 10/100;3;; $68,10 ;$ 88,53;;$ 204,30;;
RGRAP1200F;RUIJIE/REYEE AP PARED, WIFI5 WAVE 2, POE, MIMO 2X2, PUERTO ADICIONALES IDEAL PARA HABITACIONES;3;; $52,40 ;$ 68,12;;$ 157,20;;
RGRAP1200P;RUIJIE/REYEE AP PARED, WIFI5 WAVE 2, POE, MIMO 2X2, 4 PUERTOS GB ADICIONALES ( 1X POE)  IDEAL PARA HABITACIONES;3;; $116,20 ;$ 151,06;;$ 348,60;;
RGRAP2260E;RUIJIE/REYEE AP WI-FI6 INTERIOR TECHO POE DOBLE BANDA MU-MIMO 4X4;3;; $250,00 ;$ 325,00;;$ 750,00;;
RGRAP2260G;RUIJIE/REYEE AP WI-FI6 INTERIOR TECHO POE DOBLE BANDA MU-MIMO 2X2;3;; $136,70 ;$ 177,71;;$ 410,10;;
TL-WR840N;TPLINK ROUTER  INALÁMBRICO N 300 Mbps 2 ANTENAS;4;; $21,00 ;$ 27,30;;$ 84,00;;
TL-WR844N;TP-LINK ROUTER  INALÁMBRICO MULTIMODO 2 ANTENAS;4;; $20,46 ;$ 26,60;;$ 81,84;;
TL-WR845N;TP-LINK ROUTER  INALÁMBRICO  3 ANTENAS 5DBI;4;; $24,15 ;$ 31,40;;$ 96,60;;
TL-WR940N;TP-LINK ROUTER  INALÁMBRICO 450 MBPS 3 ANTENAS FIJAS;4;; $28,75 ;$ 37,38;;$ 115,00;;
ARCHER-A10;TP-LINK ROUTER DUAL BANDA AC2600 4 ANTENAS;4;; $98,55 ;$ 128,12;;$ 394,20;;
ARCHER C80;TP-LINK ROUTER  INALÁMBRICO DOBLE BANDA GIGABIT AC1900 MU-MIMO;4;; $66,00 ;$ 85,80;;$ 264,00;;
MW302R;MERCUSYS ROUTER  INALÁMBRICO N 300MBPS MULTI-MODE 2ANT;4;; $16,05 ;$ 20,87;;$ 64,20;;
MW305R;MERCUSYS ROUTER  INALÁMBRICO 3 ANTENAS 5dBi 300MBPS ;4;; $16,90 ;$ 21,97;;$ 67,60;;
MW306R;MERCUSYS ROUTER  INALÁMBRICO N 300MBPS 3 ANTENAS;4;; $17,93 ;$ 23,31;;$ 71,72;;
MR70X;MERCUSYS ROUTER  INALÁMBRICO DOBLE BANDA  AX1800 Smart Connect 4 x Antenas omnidireccionales fijas de 5 dBi 1 puerto WAN GIGABIT + 3 puertos LAN Gigabit;4;; $67,00 ;$ 87,10;;$ 268,00;;
RGEW1800GXPRO;RUIJIE/REYEE ROUTER CASA WI-FI 6 MESH DUAL BAND WI-FI 6 MU-MIMO 2X2, 5X PUERTOS GB (1X WAN Y 4X LAN);4;; $97,00 ;$ 126,10;;$ 388,00;;
RGEG105G;RUIJIE/REYEE ROUTER GESTION CLOUD CON 5 PUERTO GB (3 X LAN ,1 X WAN GB Y 1 X LAN/WAN) HASTA 100 CLIENTES;4;; $91,10 ;$ 118,43;;$ 364,40;;
RGEG105GV2;RUIJIE/REYEE ROUTER GESTION CLOUD CON 5 PUERTO GB (3 X LAN ,1 X WAN GB Y 1 X LAN/WAN) HASTA 100 CLIENTES;4;; $100,20 ;$ 130,26;;$ 400,80;;
RGEG105GWT;RUIJIE/REYEE ROUTER TODO EN UNO PYME  WIFI5 MESH DUAL BAND WAVE2 MU-MIMO2X2, 5 PUERTOS GB (1X LAN 3X LAN/WAN Y 1X WAN);4;; $110,30 ;$ 143,39;;$ 441,20;;
RGEW1200GPRO;RUIJIE/REYEE ROUTER CASA WIFI5 MESH DUAL BAND   WAVE2 MU-MIMO2X2, 4X PUERTOS GB(3X LAN Y 1X WAN);4;; $64,00 ;$ 83,20;;$ 256,00;;
RGEG210GE;RUIJIE/REYEE ROUTER GESTION CLOUD CON 10 PUERTOS GB (6 X LAN, 1 X WAN Y 3 X LAN/WAN) HASTA 200 CLIENTES;4;; $202,70 ;$ 263,51;;$ 810,80;;
